Year,ABW,AFG,AGO,ALB,AND,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAR,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTE,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
1980,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002994953,0,0,0.007791759,0,0,0,0,0.00506639,0,0.491311351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002571865,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002382699,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0.002579205,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000531079,0,,0,0,0,0
1981,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.000838396,0,0.00637587,0,0,0.00935323,0,0,0,0,0.010459818,0,0.589014682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009253775,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0.011363484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.040779678,0,0,0,0.008350874,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0.009299842,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0.244741166,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.001490027,0,,0,0,0,0
1982,0,0,0,0,0,0.001365523,0.201598076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.140547863,0,0,0,0,0.001230872,0,0.009996415,0,0,0.011172869,0,0,0,0,0.014646597,0,0.70201103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01466487,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0.016824553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.000141989,0,0,0,0,,0,0,0,0,0,0.001270582,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.269229037,0,0,0,0.012924008,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0.014434453,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0.327219454,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.002335851,0,,0,0,0,0
1983,0,0,0,0,0,0.002032515,0.29324162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.314516643,0,0,0,0,0.001663013,0,0.015521864,0,0,0.015878995,0,,0,0,0.022025579,0,0.870065829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022616912,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0.022941813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.000213874,0,0,0,0,,0,0,0,0,0,0.001884193,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.569679637,0,0,0,0.019763836,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0.022275444,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0.435901341,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.003393245,0,,0,0,0,0
1984,0,0,0,0,0,0.002740589,0.386440147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.598204448,0,0,0.000120086,0.000100163,0.002661953,0,0.023902654,0,0,0.020619401,0,,0,0,0.03374996,0,1.065948629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03759311,0.018689957,0,0,0,0,0,5.62E-05,4.57E-05,0,0,0.001099953,0,,0,,0,0,0,0,,0,0,0,0.033852133,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0.00010382,4.60E-05,0,0.000291528,0,0,0,0,,0,0,0,0,0,0.002530455,0,0,4.95E-05,0,0,0,0,0,,0,0,0,0,0,0,0,0.034558854,0,0,0,0,0,,0.944643869,0,0,0,0.033647199,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0.037303639,0,,0,0,0,0,,0,0,,0,0,0,,0,,0,,0,0,0,0,0,0,0.694920412,0,,0,0,0,0,0.000121632,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038253436,0,0,0,0,0,0,0,0.006864699,0,,0,0,0,0
1985,0,0,0,0,0,0.00448781,0.588175039,0,0,0,0,0,0.128856131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046433382,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.001368883,0,0,0.901551372,0,0,0.000138144,0.000113353,0.004176999,0,0.041814879,0,0,0.033677347,0,,0,0,0.059992603,0,1.37976292,0,0,0,0,0,0.088469175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086586563,0.081258922,0,0,0,0,0,6.44E-05,5.22E-05,0,0,0.001248931,0,,0,,0.008488811,0,0,0,,0.011299642,0,0,0.051504866,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0.000118075,5.25E-05,0,0.000487263,0,0.01090251,0,0,,0,0,0,0,0,0.004114081,0,0,5.66E-05,0,0,0,0,0,,0,0,0,0,0,0,,0.131535012,0,0,0,0,0,0.03321386,1.520482215,0,0,0,0.077674696,0.003470331,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0.086366822,0,,0,0,0,0,,0,0,,0,0,0,,0,,0,,0,0,0,0,0,0,0.874166279,0,,0,0,0,0,0.000139936,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0.140659444,0,0,0,0,0,0,0,0.015877887,0,,0,0,0,0
1986,0,0,0,0,0,0.011380109,0.784279372,0,0,0,0,0,0.25189156,0,0,0.038348549,0,0,0,0,0.142563513,0,0,0,0,0,0,0,0,0,0,0,0,0.229211886,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.0301052,0,0,1.126449445,0,0,0.00106833,0.000300762,0.007462797,9.91E-05,0.06867872,0,0,0.055066589,0,0.004406246,0,0,0.099429711,0,1.733284322,0,0.016252546,0,0,0,0.229588144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151472811,0.182245465,0,0,0,0,0,0.00051213,0.000414807,0,0,0.002733271,0,,0,,0.042391059,0,0,1.082143808,,0.015920152,0,0,0.078913191,0,0,0,0,0,0,0.017267895,0.450163596,0,0,0,0,0,0,0,0,0,,0,0.000257647,0.000417421,0,0.002063462,0,0.079204698,0,0,,0,0,0,0,0,0.010390566,0,0,0.000449513,0,0,0,0,0,,0,0,0,0,0,0,0.066682008,0.274177565,0,0,0,0,0,0.10529638,2.090718766,0,0,0,0.135578347,0.047818895,0.02344287,0,0,0,0,,0,0,0,,0,0,0,,0,0.149568436,0,,0,0,0,0,,0,0,,0,0,0,,0,,0,,0,0.015301358,0,0,0,0,1.344018158,0,,0,0,0,0,0.001081984,9.00E-05,0,0.001548962,0,0,0,,0,0,0,0,0,,0.000727281,0,0,0,0,0.000625287,0,0.279060364,0,0,0,,0,0,0,0.029549821,0,,0,0,0,0
1987,0,0,0,0,0,0.017361085,0.905137187,0,0,,0,0.027108122,0.345358749,0,0,0.072839954,0,0,0,0,0.381286664,0,0,0,0,,0,0,0,0,0,0,0,0.370663166,0,0.083828906,,0,0.0000635,0,0,0,0,0,0,0,0,0,0,,,0,0,0.061472735,0,0,1.513422359,,0,0.001963577,0.000842681,0.012909727,0.001370815,0.11620471,0,0.004977561,0.08974631,0,0.010861727,0,0,0.17255633,0,2.144104654,0,0.070046716,0,0,0,0.510974391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262217117,0.504218653,0,0,0,0,0,0.001163965,0.000941395,0,0,0.003739372,0,,0,,0.098241297,0,0,2.0286227,,0.029097369,0,0,0.124583309,0,0,0,0,0,0,0.024659515,0.744799425,0,0,0,0,0,0,0.000949021,0,0,,0,0.000510972,0.000947226,0,0.003693306,0,0.101055831,0,0,,0.000257953,0,0,0,0,0.015845469,0,0,0.001020392,0,0,0,0,0.001403588,,0,0,0,0,0,0,0.104235639,0.486234669,0,0,0,0,0,0.165603633,2.870596552,0,0,0.072487362,0.234786323,0.071449576,0.047055301,0,0,0,0,,0,0,0,0.114236685,0,0,0,,0,0.259995807,0,,0,0,0,0,,0,0,,0,0,0,,0,,0,,0,0.030915698,0,0,0,0,2.056180558,0,,0,0,0,0,0.00198848,0.00124464,0,0.010893994,0,0,0,,0.001403588,0,0,0,0,0.002960144,0.009969069,0,0,0,0,0.001492556,0,0.498659917,0,0,0,,0,0,0,0.050882594,0,,0,0,0,0
1988,0,0,0,0,0,0.019766805,0.859014274,0,0,,0,0.19063123,0.48515954,0,0,0.192853855,0,0,0,0,0.620306327,0,0,0,0,,0,0,0,0,0,0,0,0.752880479,0,0.468206385,,0,0.000286863,0,0,0,0,0,0,0,0,0,0,,,0.022811303,0,0.124039681,0,0,1.981426966,,0,0.003625965,0.001465944,0.023722011,0.002619921,0.191699667,0,0.005593283,0.154431847,0,0.030015737,0,0,0.290983873,0,2.790048075,0,0.174653362,0,0,0,0.984128589,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440738256,0.908356275,0,0,0,0,0,0.002197777,0.001774772,0,0,0.00522915,0,,0,,0.178311341,0,0,2.612166066,,0.059145464,0,0,0.200018213,0,0,0,0,0,0,0.048365199,0.87176792,0.000826076,0,0,0,0,0,0.002852041,0,0,,0,0.000678399,0.001785547,0,0.005691344,0,0.144873303,0,0,,0.000442292,0,0,0,0,0.017983137,0.001815204,0,0.001924278,0,0,0,0,0.001654118,,0,0,0,0,0,0,0.158713808,0.822364115,0,0,0,0,0,0.224479366,3.623800751,0,0,0.300048188,0.395542904,0.101780414,0.065011753,0,0,0,0,,0,0,0,0.251646404,0,0,0,,0,0.438880272,0,,0,0,0,0,,0,0,0.375912439,0,0,0,,0,,0,,0,0.043000642,0,0,0,0,2.873322654,0,,0,0,0,0,0.003671689,0.002379979,0,0.031957866,0,0,0.000812373,,0.001654118,0,0,0,0,0.005168674,0.018888992,0,0,0,0,0.003083376,0,0.829863407,0,0,0.009591806,,0,0,0,0.084912616,0,,0,0,0,0
1989,0,0,0,0,0,0.028727652,1.461321492,0.007149428,0,,,0.560966912,0.664667026,0,0,0.309387231,0,0,0,0,0.883522952,0,0,0,0,1.253828806,0,0,0,,0,0,0,1.264765577,0,1.099003546,,0.037639534,0.000855603,0,0,0,0,0,0,0,0,0,0,,,0.179482775,0,0.204468776,0,0,2.413347807,,0,0.006360997,0.002802402,0.049972327,0.004116931,0.3009821,0,0.006555298,0.253063896,0,0.076743679,0,0,0.468721343,0,3.82527312,0,0.315304135,,0,0,1.708755296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742460346,1.55856424,0,0,0,0,0,0.004269878,0.00344221,0,0,0.007368035,0,,0,,0.38465744,0,0,3.129423239,,0.116270531,0,0,0.401833216,0,0,0,0,0,0,0.093357413,1.092645669,0.003556974,0,0,0,0,0,0.007223978,0,0,,0,0.000946815,0.003346759,0,0.009702659,0,0.176060533,0,0.389132974,,0.002891162,0,0,0,0,0.02607829,0.010079818,0,0.00360872,0,0,0,0,0.002263367,,0,0,0,0,0,0,0.222617369,1.380274112,0,0,0,0,0,0.37855502,3.973213143,0,0,0.859906886,0.661917628,0.120370636,0.089015653,0,0,0,0,,0,0,0,0.33269872,0,0.02811394,0,,0,0.736113544,0,,0,0,0,0,,0,0,0.893282698,0,0,0,,0,,0.000803141,,0.000803029,0.059072721,0,0,0,0,4.102872293,0,,0,0,0,0,0.006440842,0.003741574,0,0.07152718,0,0,0.004678434,,0.002263367,0,0,0.000803029,0,0.008001798,0.029408771,0,0,0,0,0.006095692,0,1.39281703,0,0,0.019136833,,0,0,0,0.141732689,0,,0,0.011066456,0,0
