Year,ABW,AFG,AGO,ALB,AND,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAR,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTE,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
1990,0,0,0,0,0,0.038825634,1.858734413,0.036781751,0,0,0,1.081736077,0.96086037,0,0,0.429735061,0,0,0,0,1.037818786,0.749791291,0,0,0,1.859593966,0,0.000445712,0,0.689684699,0,0,0,2.110674786,0.002597791,1.873666451,,0.105350944,0.001571868,0,0,0,0,0,0,0,0,0.034895138,0,,0,0.411682066,0,0.338698748,0,0,2.88347134,0.043698337,0.001791178,0.011397838,0.009222367,0.088997187,0.008396295,0.41460206,0,0.007100178,0.43921127,0,0.140678283,0,0,0.647364268,0,5.171190195,0,0.498190672,0,0,0,1.947059624,0,0,0,0,0,0,0,0,0.155785888,0,0.003295716,0,0,1.088979193,2.311204939,0,0,0.005006758,0,0.025469277,0.009694146,0.007851681,0.000254266,0.000746923,0.010130254,0,,0,,0.707977634,0,0,3.928108935,0.338729821,0.468047382,0,0.042847108,0.710088407,0,0,0,0,0,0,0.186178272,1.006663838,0.021143338,0,0,0,0,0,0.028254157,0,0,0,0.00583007,0.001484853,0.007570444,0,0.016548027,0,0.215825454,0,0.620456725,,0.003663631,0,0,0,0,0.040852033,0.074266061,0,0.008166982,0,0,0,0,0.003428692,,0,0,0,0,0.20835997,0,0.475644054,2.07917403,0,0,0,0,0,0.530545271,4.641759278,0,0,1.592120973,0.988105609,0.150820147,0.152165654,0.001800328,0,0.007578529,0,,0,0,0,0.57899638,0,0.065660213,0,0,0,1.098241848,0,0.799761603,0,0,0,0.000265132,0.091638458,0,0,1.71488965,0,0,0,0,0,,0.001546684,,0.001546473,0.112937948,0,0,0,0,5.3884126,0,,0,0,0,0,0.011540788,0.007633368,0,0.111735514,0,0,0.024039091,0,0.003460491,0,0.000265132,0.001546473,0,0.011714378,0.058911441,0,0,0,0,0.014429286,0,2.075802366,0,0,0.037597287,0,0,0,0,0.211148974,0,,0,0.015437514,0,0
1991,0,0,0,0,0,0.056061866,2.254085688,0.075585347,0,0,,1.682627998,1.493599184,0,0,0.513631256,0,0,0,0,1.442965201,0.773644017,0,0,0,2.393935364,0.004240494,0.004403447,0.186797348,1.144394171,0,0,0,2.769888481,0.011661181,2.58986839,,0.268539847,0.004018906,0,0,0,0,0,0,0,0,0.098208486,0,,2.132692381,0.655184655,0.012023234,0.656885288,0,0,3.413512849,0.075821226,0.017777422,0.021702255,0.019028089,0.146244753,0.013071236,0.56439764,0,0.007841417,0.717345166,0,0.278272537,0.036792424,0,0.888126745,0,6.370787129,0,0.656765549,3.008674415,0,0,2.196366801,0,0,0,0,0,0,0,0,0.152402675,0,0.013419628,0.649180475,0,1.550983097,3.238869715,0,7.95E-05,0.042070686,0,0.081743662,0.019647277,0.015978623,0.000996442,0.002935302,0.013492764,0,,0,,0.90457037,0,0,5.007634418,0.495518787,0.999024175,0.102780276,0.041317981,1.123129273,0,0,0,0,0,,0.383052472,2.15037524,0.052248722,0,0,0,0,,0.065868373,0,0,,0.010266433,0.004042005,0.015235865,0,0.028253223,0,0.294804301,0,1.31182947,,0.005969421,0,0,0,0,0.060096401,0.183067275,0,0.016450837,0,0,0.600709786,0,0.005869993,,0,,0,0,0.233992787,0,0.694816981,2.922853997,0,0,0,0,0,0.767014891,5.499831432,0,0,2.098081692,1.403309237,0.194797341,0.22567267,0.007441181,0,0.025660234,0.054508405,,0,0,0,0.940707549,0,0.127016808,0,,0,1.556048505,0,0.836272414,0,0.000201914,0,0.000887943,0.091583609,0,0,2.642048066,0,0,0,,0,,0.001832935,,0.001832689,0.178861271,0,0,0.002246115,0.026082746,6.594298056,0,,0,0,0,0,0.021974428,0.011886013,0,0.216057464,0,0,0.059761981,,0.005869993,0,0.000887943,0.001832689,0.034636793,0.014893085,0.087100576,0,0,0,0,0.028136523,0,2.939643902,0,,0.082101753,,,0,0,0.301782495,0,,0,0.018836078,0,0
1992,0.029310471,0,0,0,1.307211734,0.063570087,2.430181766,0.138988317,0,1.411375688,,2.835372025,2.211730703,0,0,0.611545879,0,0,0.000222359,0,1.852315921,0.977087303,0,0,0,3.200793585,0.021773635,0.020698847,0.305024084,1.508816445,0,0,0,3.621301434,0.040827293,3.15607763,,0.470127826,0.014759086,0,0,,0,0,0,0,0.093024176,0.23187363,0.002175148,,3.605576235,1.216371494,0.044996981,1.190674527,0,0,4.081427044,0.095352766,0.017363261,0.042832306,0.034290534,0.213171109,0.019148966,0.744279956,0,0.008416892,1.040500327,0,0.461351559,0.164001155,0,1.180231257,0.000734126,7.666908049,0,0.761609496,3.688278231,0,0.028032995,2.619945977,0,0.002585366,0,0,0.020823423,0,0,0,0.186212076,0.306155334,0.02298958,0.951746942,0.116319598,2.158784647,3.947248663,0,0.000869524,0.132006749,0,0.22472515,0.039263811,0.0321466,0.00215322,0.004911345,0.019222694,0.000640977,,0,,1.239692939,0,0,5.868139056,0.75107401,1.376232801,0.318010492,0.039058232,1.390274425,0,0.004393508,0,0,0,,0.62196189,2.699075329,0.117764267,0.006447558,0,0,0,,0.140697681,0.000458792,6.89E-05,,0.014909799,0.006327172,0.030760006,0,0.052389652,0.007237018,0.286150081,0.039328979,2.782696619,,0.012581316,0,0,0,0,0.072052631,0.348322481,0,0.032957408,0,0,0.911762254,0,0.007552199,,0,,0,0,0.268913275,0,1.044372977,4.18705001,0,0,0,0,0,1.099260436,6.601743926,0,0,2.860303301,1.95171425,0.240182826,0.308262928,0.011509801,0,0.095145118,0.086226172,,0,0.005724678,0.00032462,1.672777882,0,0.374292451,0.033550037,0,0,2.157308969,0,0.864572738,0,0.004032303,0,0.001383665,0.091684168,0,0,3.758166967,0,0,0,3.634014375,0,,0.003476783,,0.003476287,0.267699661,0,0,0.02890518,0.174706668,7.559531019,0,,0,0,0,0,0.043328036,0.017932981,0,0.434581425,0,0,0.130914028,,0.007625096,0,0.001383665,0.003476287,0.103193087,0.023225483,0.109996968,0,0,0,0,0.058240757,0.054268974,4.249049037,0,0.064814215,0.379670225,,,0.001112669,0,0.427001607,0,,0.011885633,0.032367681,0,0
1993,,0,0.009672748,0,1.278625641,0.081298004,3.327734151,0.329780857,0,1.774273041,,3.892879466,2.805498884,0,0.005879704,0.671587939,0,0,0.00043517,0.011692572,2.120546339,0.885634717,0,0.003162103,0.201592581,5.592013289,0.036460894,0.115915349,0.59607052,2.969404832,0,0,0,4.648371087,0.099847911,3.740083886,,0.610285808,0.052592372,0,0,,0,0,0,0,0.136853257,0.407774046,0.00462041,,4.397598771,1.867090695,0.135784868,2.157949827,0,0,6.889123885,0.134804055,0.016979454,0.091276359,0.053477298,0.312817357,0.028062038,1.102596262,0,0.011595444,1.607702684,0,0.656329161,0.484397233,0,1.773740827,0.00269425,9.664672185,0,0.993573197,3.52654245,0,0.117009358,3.932425055,0,0.010950971,0,0.000588556,0.04532642,0,0,0.458787633,0.286871071,0.784313725,0.031366214,1.363896438,0.142124324,3.079247753,4.872216207,0,0.001862185,0.23899589,0,0.441073865,0.076464166,0.062598257,0.004847306,0.008732025,0.028421554,0.002720645,,0,,1.713445217,0,0,6.634957295,1.293391516,2.120206352,0.62934611,0.036805421,1.723586246,0,0.004497055,0,0.047730546,0,,1.071053458,3.656986692,0.211647815,0.007349983,0,0,0,,0.242449662,0.002611606,0.000279804,,0.081953185,0.01171517,0.060554199,0,0.108085637,0.033825344,1.280710464,0.14794034,3.930750232,,0.025865041,3.815780742,0,0,0,0.098930511,0.421293924,0,0.064924005,0,0,1.365578155,0.001459615,0.011273752,,0,1.404451266,0,0,0.36751084,0,1.725876473,5.960207561,0,0,0,0.008773108,0.007280292,1.420043747,8.618026799,0,1.543368659,4.034191314,2.77979337,0.274767211,0.43102096,0.013296024,0,0.157267207,0.153945411,,0,0.040871324,0.002938995,2.622388239,0,1.012894051,0.07399501,0,0.008502225,3.082463415,0,0.871755055,0.00344867,0.006718503,0,0.002577987,0.089592938,0,0,5.438606939,0,0,0.0291568,5.180727693,0,,0.011505584,,0.011503953,0.394954907,0,0.254049952,0.058573645,0.325073304,8.864091559,0,,0,0,0,0,0.092371594,0.029221926,0,0.712174554,0,0,0.228265111,,0.011385259,0,0.002577987,0.011503953,0.134923377,0.026164191,0.148443728,0,0,0,0.000126078,0.115837142,0.156362743,6.103716586,0.002270342,0.076782889,0.862938276,,,0.00553412,0,0.618240579,0,,0.037663475,0.100950204,0,0
1994,,0,0.015532086,0,1.250259142,0.105012027,4.098632759,0.701068622,0,2.316289305,,6.807810813,3.504549191,0.006514549,0.006184101,1.264320986,0,0,0.000940619,0.076908205,3.207749877,,0,0.016869419,0.411172831,8.390338101,0.054342489,0.360031692,1.130539817,5.43654522,0,0,0,6.435664704,0.264693078,4.772581632,,0.814454288,0.127903776,0,0.011810778,,0,0.24169275,0,0,0.205830135,0.630540947,0.010589381,,6.032274164,2.739958383,0.294173605,3.009651998,0,0,9.661657764,0.267922366,0.004688247,0.182546738,0.102427571,0.576998231,0.062636816,1.793815607,0.170828212,0.012237709,2.510037075,0,1.047842335,0.943535167,0,2.896976353,0.004637836,13.28153215,0.143666151,1.527885256,4.393732207,0,0.245162295,6.812778164,0,0.020417059,0,0.010806418,0.078334523,0,0,1.447153501,0.352102049,1.727072397,0.107232198,2.869627327,0.172352271,4.835142776,8.020962705,0,0.0041613,0.458153231,0,1.380157809,0.159588719,0.130013554,0.0083467,0.013514619,0.040831947,0.005520843,,0,,2.453545736,0.015419914,0,8.246726037,2.583802439,3.932290383,1.069988634,0.034812194,3.490181339,0.002539553,0.007471468,0,0.098166222,0,,2.164843483,5.17054703,0.429744707,0.013154732,0,0,0,0.360727513,0.473334677,0.005095229,0.000884608,,0.161302474,0.019717439,0.127114588,0,0.222997004,0.123604654,3.204244164,0.331189288,5.473693346,,0.05220786,8.41139927,0,0.002300657,0,0.148921586,0.608553991,0.553611325,0.136386093,0,0,1.912899318,0.004296639,0.01784531,,0,1.395552475,0,0,0.512193086,0,2.829380142,8.841667998,0,0,0,0.012103699,0.047903009,2.095556871,13.57681303,0,4.562506337,6.60149621,4.386926541,0.320066981,0.679570086,0.019977168,0,0.222020353,0.252609789,,0,0.101261502,0.004923771,4.784861682,0,1.726440031,0.16326722,0,0.11355962,4.8750283,0,2.329400169,0.01202193,0.018649723,0,0.004450435,0.087701216,0,0.001156238,6.952534047,0.04123121,0,0.085738294,7.479726006,0,,0.070603985,,0.070594054,0.62697132,0,0.321419268,0.111129032,0.818517787,15.71336635,0,,0,0,0,0,0.184778843,0.06613355,0,1.26050362,0,0,0.449358846,,0.018026464,0,0.004450435,0.070594054,0.207867451,0.030665204,0.303364973,0,0.001276347,0,0.009729426,0.248936067,0.213198969,9.104921407,0.004009233,0.138723192,1.475034896,,,0.016722953,0.038974721,0.990182047,0,,0.056894904,0.838227596,0,0
1995,2.138784453,0,0.016472597,0,4.424155104,0.197623255,5.496642593,1.163818921,0,2.364110905,,12.37017796,4.80296973,0.077212068,0.009082238,2.315095365,0.017541931,0,0.0020856,0.250295641,4.895960832,1.464024281,0,0.057875715,0.747480214,10.29850017,0.094677895,0.794074075,1.753272662,12.16292716,0,0,0.001343226,8.840378661,0.501823664,6.372585485,,1.366430697,0.293245078,0,0.020101116,0.020232062,0,0.750781397,0,0,0.539072399,1.09438499,0.017736898,,8.000757767,5.196816887,0.472956237,4.479975831,0,0,15.71430701,0.701670075,0.016001794,0.382200086,0.183785832,1.247704152,0.161259246,2.844323023,0.480566995,0.012045436,4.112697867,0,2.397111579,2.12493964,0,4.554784521,0.047492217,20.34240794,0.283656121,2.24533597,5.800585047,0,0.370206862,9.889762431,0.002960248,0.036990796,2.41891149,0.012121718,0.135304285,0,0,2.558141736,0.398990554,3.676826318,0.300474937,3.410917685,0.170709867,7.640130684,12.99329905,0,0.010295282,0.718264839,0,2.559893292,0.316126,0.254128654,0.013210103,0.019758414,0.108515907,0.009869542,,0.008022562,,4.37561861,0.026298054,0,11.54703239,8.354980904,6.886434446,1.833349512,0.27406405,9.408600615,0.029582694,0.008312034,0,0.13092897,0,,3.675661704,7.414872617,0.733063095,0.031592094,3.955949187,0,0,0.680087051,0.809949041,0.009019574,0.005382512,,0.281311331,0.050625056,0.248742496,0,0.459960085,0.407791561,6.575491484,0.603017378,9.004941537,,0.109979867,9.788273616,0.000322649,0.009663613,0,0.346883773,0.721767371,0.51744414,0.269230541,0,0,2.727651884,0.006101938,0.080539544,,0,2.086303418,0,0,1.039713789,0.003833777,4.849446866,12.23344292,0.211580847,0.436000423,0,0.011989874,0.094431584,3.495460441,22.50808984,0,5.015045135,9.931810637,6.937056168,0.373712058,1.210112739,0.032334152,0,0.307206643,0.70950518,,0,0.194906956,0.008577302,7.778517686,0,3.375687267,0.329186723,,0.198267314,7.704189991,0.534386617,3.685294341,0.039488733,0.059572491,0,0.013612987,0.08621589,0,0.001400443,8.786437875,0.064024764,0,0.234428837,9.112149533,0,,0.103051254,,0.103046504,1.109538207,0,0.387125496,0.22963108,1.370636715,22.74910726,0,,0.066283987,0,0,0,0.386956483,0.164303855,0,2.200303493,0,0,0.772041835,,0.080539544,0.312734551,0.013612987,0.103046504,0.506214736,0.035457247,0.746945781,0,0.011688367,0.008423042,0.027372102,0.48164988,1.237570103,12.6047249,0.016256445,0.198849448,1.827799058,,,0.0309129,0.071922775,1.584961959,0,,0.054933344,1.291434219,0.017497352,0
1996,3.605985937,0,0.026485822,0.068840778,8.538444783,0.355462105,7.844957726,1.891500329,0.009453508,2.410710974,1.850665528,21.7568676,7.475118128,0.216497822,0.008912568,4.694050625,0.043828702,0.00506143,0.00326795,0.321320979,6.913956774,1.744231135,0.043034507,0.064472565,1.028369629,12.9329206,0.427823762,1.519628432,2.380970426,14.38757599,0,0,0.031967296,11.82226558,1.109543555,9.387357671,,2.178877112,0.549163873,0.09259594,0.024446549,0.016696581,0.035745282,1.404166019,0,0,1.304630033,1.375131879,0.022102299,,,8.105505207,1.939566548,6.609990079,0.016274814,0.647963343,25.05702382,1.016767731,0.039202273,0.670649276,0.345707682,2.474717191,0.314893302,4.475722921,0.517246854,0.011861838,7.176675149,0,7.586339439,4.920277348,0,7.188605675,0.080504205,29.30153817,0.471549627,4.230263986,7.410685914,0,0.613332035,12.46095848,0.046091288,0.074354288,3.673020528,0.011736,0.282499795,0,0.013365791,4.944987939,0.565498631,7.382862874,0.425086663,3.919357017,0.164189009,11.91845262,21.70170873,0.040376411,0.026871597,1.39727181,0,4.57770369,0.560155439,0.44920753,0.023532623,0.031635997,0.285399813,0.019403189,,0.033701672,,7.932034067,0.09760113,0,17.32947288,19.09479005,11.27907186,2.198589265,0.541761443,21.56058437,0.063930025,0.010026174,0,0.208266253,0,0.691387615,7.078148774,9.529321669,1.255300369,0.076003812,6.447444858,0,0,0.939837005,1.347863911,0.015822176,0.010084564,,0.386704011,0.11036611,0.438453945,0.070930875,0.798047379,1.413556028,10.8694602,1.159335396,11.05246144,,0.157659667,17.43566562,0.02135537,0.016567447,0.007978967,0.712470885,1.051320868,0.71015818,0.474997772,0.053564006,0.012871175,3.135205093,0.015785413,0.141461465,,0.038850072,,0,0,1.824826146,0.0364413,7.15113869,15.80324765,0.38960681,1.064637997,0,0.012593755,0.107218744,6.548588399,28.76103723,0,5.980265125,13.25678401,10.8306443,0.689338869,1.89746797,0.052303248,0.248709818,0.824805564,1.347232983,,0.047200797,0.563666011,0.016376051,8.845403321,0,6.544476984,0.669014665,,0.29503835,12.00603281,1.239955856,5.614311695,0.074424492,0.15029596,0,0.036678056,1.011950648,0.007113041,0.015793657,12.0728218,0.091219389,0,0.400740518,8.794474029,0,,0.180538035,,0.180689004,1.656894369,0,0.546935486,0.53343499,2.070905846,28.16003761,0,,1.365344085,0,0,0,0.679055847,0.337382606,0,3.096979262,0.001739917,0,1.318619397,,0.141461465,0.313870586,0.036678056,0.180689004,0.757649807,0.071298377,1.356502457,0,0.029362791,0.018684872,0.059030694,0.832377848,2.42029077,16.23815248,0.040673617,0.259072152,2.578818893,6.371455878,,0.089299977,0.089638072,2.498897679,0,,0.056551791,2.258077502,0.029989053,0
1997,3.98141538,0,0.055130843,0.099059921,13.44671556,0.611174873,11.85794673,5.62910957,0.15935483,2.548141677,1.938199136,24.66137476,14.47070198,0.504939253,0.009718077,9.548274196,0.067517635,0.014092851,0.020809104,0.853688207,9.799631738,2.161446077,0.254525031,0.080697147,1.164387324,16.57633243,1.484397923,2.725767586,3.028276003,14.52062574,0,0,0.040003118,14.04583637,2.84876704,14.72994464,,2.75502543,1.052726386,0.239327506,0.02855312,0.020191297,,3.336985973,0,0.004789708,1.760159868,1.732894934,0.027158313,,11.54343185,10.32497954,5.104522953,9.912481627,0.029510232,0.785799084,27.36597973,1.714916352,0.057339703,1.116128529,0.651651078,3.725149931,0.692778318,7.183478351,1.072140872,0.103619882,12.56794687,0,10.95273284,10.32159425,0,11.51535492,0.153897652,42.06724499,0.655656678,9.958005642,10.5847387,0,0.835229451,15.15254531,0.609447781,0.12446167,5.948446794,0.034568886,0.420058457,0,0.063655345,8.655453683,0.965142151,11.59889756,0.614318049,3.774300427,0.190720364,16.82942392,34.67552508,0.246500814,0.06566403,2.61691813,0,6.844830397,1.025231853,0.820921111,0.044856172,0.057590908,0.457970991,0.038424954,,0.089033266,,14.8509496,0.382047218,0,23.96205251,29.70554874,20.63367341,2.62987066,0.989408624,30.59119313,0.074254448,0.023379915,0,0.29445528,0,0.467129999,15.21163954,12.83619367,2.476377559,0.096434494,12.08968939,0,0.20307261,1.059644754,2.543574525,0.029480574,0.021251709,,0.62189487,0.194500329,0.797428467,0.19426324,1.413350388,4.614134791,16.0027049,3.166808235,12.82549129,,0.269510477,23.04589975,0.051537046,0.028612824,0.503224145,1.214199317,1.758956617,0.901406271,0.864550265,0.620679856,0.030035121,4.407620841,0.018198005,0.326270907,,0.085626592,,0.014780106,0,3.681905532,0.06728014,9.171856982,19.54375525,0.711047806,2.628890485,0.000994962,0.013160263,0.15589969,11.00405144,37.99635075,0,7.45823389,15.09009147,15.27952005,2.433734685,2.888534253,0.101070011,0.816973446,1.701558964,1.84611551,,0.077592785,2.111734246,0.030454434,9.795459071,0,14.79998641,1.677662887,,0.43557101,16.86979607,2.425648315,8.210904435,0.884783766,0.32744683,0,0.088549453,1.742146861,0.011974633,0.075752533,23.22922974,0.173221257,0,0.685934241,8.999004365,0,,0.34050596,,0.340829925,2.43713272,0,0.504275623,3.720696079,4.706932356,35.77110377,0,,2.911640081,0,,0,1.130168983,0.820896533,0.066492152,3.660549703,0.005389767,0.057656946,2.541072484,,0.326270907,0.124257046,0.088549453,0.340829925,1.359586952,0.082881819,2.666464566,0,0.063952305,0.022640286,0.113442549,1.526240622,3.034200069,20.14238484,0.0724346,0.320367404,4.656348533,,14.81454047,0.205189937,0.118283011,3.656376802,0.444854841,,0.076112541,4.279063857,0.048819276,0.047601602
